key,ES,EN,FR
admission_less,Ingreso hace menos de 6 meses por una complicación,Admission less than 6 months ago for a complication,Admis il y a moins de 6 mois pour une complication
age,edad,age,âge
alcohol_daily_consumption,Consumo diario,Daily consumption,Consommation quotidienne
arterial_disease,Enfermedad arterial periférica,Peripheral arterial disease,Maladies artérielles périphériques
b_print,Imprimir,Print,Imprimer
beers,cerveza,beers,bière
birthdayModalSetup_action,"Por favor, escoga una fecha de nuevo",Please choose a date again,Veuillez choisir à nouveau une date
birthdayModalSetup_content,La fecha seleccionada no puede ser mayor que la fecha actual.,The selected date cannot be greater than the current date.,La date sélectionnée ne peut pas être supérieure à la date actuelle.
birthdayModalSetup_header,Fecha incorrecta,Incorrect date,Date incorrecte
cbox_msg,Estas patologías no permite asegurar ningún riesgo.,These pathologies do not allow to ensure any risk.,Ces pathologies ne permettent pas d'assurer un risque.
cho1,Hasta 200,Up to 200,Jusqu'à 200
cho2,De 200 a 250,From 200 to 250,De 200 á 250
cho3,De 251 a 275,From 251 to 275,De 251 á 275
cho4,De 251 a 275,From 276 to 300,De 251 á 275
cho5,Más de 300,More than 300,Plus de 300
cholesterol,colesterol,cholesterol,cholestérol
cigarettes,cigarrillo,cigarettes,cigarette
cigars,puro,cigars,cigares
constitution,Constitución,Constitution,Constitution 
coronary_heart_disease,"Enfermedad coronaria (Angina, I.A.M.)",Coronary heart disease,"Maladie coronarienne (angine de poitrine, I.A.M.)"
date,fecha,date,date
date_is_not_correct,"Por favor, asegúrese de que la cifra es correcta.",Please make sure the figure is correct.,Veuillez vous assurer que le chiffre est correct.
dateRangeModalSetup_action_1,La fecha seleccionada debe estar entre el ,The selected date must be between,La date choisie doit être comprise entre le
dateRangeModalSetup_action_2,y el ,and the,et le
dateRangeModalSetup_content_1,"Por favor, escoga una fecha en el rango (entre ",Please choose a date in the range (between,Veuillez choisir une date dans la fourchette (entre 
dateRangeModalSetup_content_2,y,and,et
dateRangeModalSetup_content_3,años de edad),year old),ans d'âge)
dateRangeModalSetup_header,Atención: Fecha fuera de rango,Attention: Date out of range,Attention : Date hors plage
diabetes,diabetes,diabetes,diabète
Diabetes,Diabetes,Diabetes,Diabète
diastolic,diastólica,diastolic,diastolique
diastolicModalSetup_High_content,La tensión diastólica es muy alta para asegurar el riesgo.,Diastolic blood pressure is too high to insure risk.,La pression diastolique est trop élevée pour garantir le risque.
diastolicModalSetup_Low_content,La tensión diastólica es muy baja para asegurar el riesgo.,Diastolic blood pressure is too low to ensure risk.,La pression diastolique est trop basse pour garantir le risque.
exclusionary_pathology,Patología excluyente,Exclusionary pathology,Pathologie exclusive
Fecha,Campo obligatorio,Mandatory field,Champ obligatoire
female,Mujer,Female,Femme
fieldsOffModalSetup_action,Existen campos erróneos o sin rellenar.,There are erroneous or unfilled fields.,Des champs sont incorrects ou manquants.
fieldsOffModalSetup_content,"Por favor, rellene correctamente los campos con mensajes en rojo.",Please fill in the fields with messages in red correctly.,Veuillez remplir correctement les champs dont les messages sont en rouge.
gender,género,gender,sexe
gender_upper,Género,Gender,Sexe
h_accidents,Accidentes,Accidents,Accidents
h_attention,Atención,Attention,Attention
h_death,Fallecimiento,Death,Décès
h_disability,Invalidez,Disability,Invalidité
h_results,Resultados de los seguros para diabéticos,Diabetic insurance results,Résultats de l'assurance diabète
h_temporary_incapacity,Incapacidad laboral temporal,Temporary incapacity for work,Incapacité temporaire de travail
height,altura,height,hauteur
height_cm,Altura (cm),Height (cm),hauteur (cm)
heightModalSetup_1_content,La altura introducida es muy baja. Debe introducir una altura mayor de,The entered height is too low. You must enter a height greater than,La hauteur introduite est trop basse. Vous devez entrer une hauteur supérieure à
heightModalSetup_2_content,centímetros,centimeters,centimètres
hem1,"Menos de 7,0",Less than 7.0,"Moins de 7,0"
hem2,"De 7,0 a 7,5",7.0 to 7.5,"7,0 à 7,5"
hem3,"De 7,6 a 8,0",From 7.6 to 8.0,De 7.6 à 8.0
hem4,"De 8,1 a 9,0",From 8.1 to 9.0,De 8.1 à 9.0
hem5,"De 9,1 a 10",From 9.1 to 10,De 9.1 à 10
hem6,Más de 10,More than 10,Plus de 10
hemoglobin,hemoglobina,hemoglobin,hémoglobine
imc,índice de masa corporal,body mass index,indice de masse corporelle
ins1,Hasta 25 unidades diarias de insulina,Up to 25 units of insulin daily,Jusqu'à 25 unités d'insuline par jour
ins1_less_25,Hasta 25 ,Up to 25 ,Jusqu'à 25 
ins1_units,unidades diarias de insulina,units of insulin daily,unités quotidiennes d'insuline
ins2,Más de 25 unidades diarias de insulina,More than 25 units of insulin daily,Plus de 25 unités d'insuline par jour
ins2_more_25,Más de 25,More than 25,Plus de 25 
ins2_units,unidades diarias de insulina,units of insulin daily,unités quotidiennes d'insuline
insulin,insulina,insulin,insuline
insulin,Insulina,Insulin,insuline
intro_blood_pressure,Presión arterial (mm Hg.). Teclee al menos una toma.,Blood pressure (mmHg),Tension artérielle (mm Hg.). Saisir au moins un cliché.
intro_insulin,Cantidades,Quantities,Quantités
intro_milligrams,Miligramos por decilitro (mg/dL),Milligrams per deciliter (mg/dL),Milligrammes par décilitre (mg/dL)
intro_millimole,Milimol por litro (mmol/l),Millimole per liter (mmol/l),Millimoles par litre (mmol/l)
kidney_disease,Enfermedad renal asociada,Associated kidney disease,Maladie rénale associée
label_cho1,Hasta 200,Up to 200,Jusqu'à 200
label_cho2,De 200 a 250,From 200 to 250,De 200 à 250
label_cho3,De 251 a 275,From 251 to 275,251 à 275
label_cho4,De 276 a 300,From 276 to 300,De 276 à 300
label_cho5,Más de 300,More than 300,Plus de 300
label_hem1,"Menos de 7,0",Less than 7.0,"Moins de 7,0"
label_hem2,"De 7,0 a 7,5",7.0 to 7.5,"De 7,0 à 7,5"
label_hem3,"De 7,6 a 8,0",From 7.6 to 8.0,"De 7,6 à 8,0"
label_hem4,"De 8,1 a 9,0",From 8.1 to 9.0,"De 8,1 à 9,0"
label_hem5,"De 9,1 a 10",From 9.1 to 10,"De 9,1 à 10"
label_hem6,Más de 10,More than 10,Plus de 10
male,Hombre,Male,Hommes
man,Hombre,Man,Homme
birth_date, Fecha nacimiento,Birth date,Date de naissance
mandatory_text_1,Fecha nacimiento,Birth date,Date de naissance
mandatory_text_10,Campo obligatorio,Mandatory field,Champ obligatoire
mandatory_text_11,Campo obligatorio,Mandatory field,Champ obligatoire
mandatory_text_12,Campo obligatorio,Mandatory field,Champ obligatoire
mandatory_text_13,Campo obligatorio,Mandatory field,Champ obligatoire
mandatory_text_14,Campo obligatorio,Mandatory field,Champ obligatoire
mandatory_text_15,Campo obligatorio,Mandatory field,Champ obligatoire
mandatory_text_16,Campo obligatorio,Mandatory field,Champ obligatoire
mandatory_text_17,Campo obligatorio,Mandatory field,Champ obligatoire
mandatory_text_18,Campo obligatorio,Mandatory field,Champ obligatoire
mandatory_text_2,Campo obligatorio,Mandatory field,Champ obligatoire
mandatory_text_3,Campo obligatorio,Mandatory field,Champ obligatoire
mandatory_text_4,Campo obligatorio,Mandatory field,Champ obligatoire
mandatory_text_5,Campo obligatorio,Mandatory field,Champ obligatoire
mandatory_text_6,Campo obligatorio,Mandatory field,Champ obligatoire
mandatory_text_7,Campo obligatorio,Mandatory field,Champ obligatoire
mandatory_text_8,Campo obligatorio,Mandatory field,Champ obligatoire
mandatory_text_9,Campo obligatorio,Mandatory field,Champ obligatoire
mass_index,índice de masa,Mass index,indice de masse
modalSetup_footer,""" © NacionalRe. Todos los derechos reservados.""",""" © NacionalRe. All rights reserved.""",""" © NacionalRe. Tous droits réservés."""
modalSetup_header,Atención,Attention,Attention
neuropathy,Neuropatía,Neuropathy,Neuropathie
old_diabetes,Antigüedad diabetes,Age of diabetes,Ancienneté du diabète
p_at,a las,at,à
p_consultation,Consulta realizada el,Consultation made on,La consultation a eu lieu le
p_hours,h.,h.,h.
pathologiesModalSetup_content,Esta patología no permite asegurar ningún riesgo.,This pathology does not allow to ensure any risk.,Cette pathologie ne permet d'assurer aucun risque.
pdf_button,Cuestionario,Questionnaire,Questionnaire
pipes,pipa,pipes,pipes
r_beer,1 cerveza,1 beer,1 bière
r_beers,cervezas,beers,bières
r_bmi,imc,bmi,imc
r_cholesterol,colesterol,cholesterol,cholestérol
r_cigar,1 puro,1 cigar,1 cigare
r_cigarette,1 cigarrillo,1 cigarette,1 cigarette
r_cigarettes,cigarrillos,cigarettes,cigarettes
r_cigars,puros,cigars,cigares
r_cm,cm,cm,cm
r_diabetes,Diabetes,Diabetes,Diabète
r_diastolic,diastólica,diastolic,diastolique
r_hemoglobin,hemoglobina,hemoglobin,hémoglobine
r_kg,kg,kg,kg
r_liqueurs,licores,liqueurs,liqueurs
r_liquor,1 licor,1 liquor,1 liqueur
r_no_alcohol,No consume alcohol,Does not consume alcohol,Pas de consommation d'alcool
r_no_tobacco,No consume tabaco,Does not use tobacco,Pas de consommation de tabac
r_no_years,Sin años de antigüedad,No years old,Pas d'années d'âge
r_normal,Normal,Normal,Normal
r_pipes,pipas,pipes,pipes
r_pipes,pipa,pipe,pipes
r_refuse,Rechazar,To refuse,Refuser
r_systolic,sistólica,systolic,systolique
r_wines,vinos,wines,vins
r_wines,1 vino ,1 wine,1 vin 
r_year,año,year,année
r_years,años,years,années
reset_button,Restaurar,Reset,Remise à zéro
results,Resultados,Results,Résultats
retinopathy,Retinopatía,Retinopathy,Rétinopathie
spirits,licor,spirits,licor
stroke,Accidente cerebrovascular,Stroke,Accident vasculaire cérébral
submit_button,Tarificación,Calculate,Tarif
suffered_pathologies,¿Ha padecido alguna de las siguiente patologías?,Have you suffered from any of the following pathologies?,Avez-vous souffert d'une des pathologies suivantes ?
systolic,sistólica,systolic,systolique
systolicModalSetup_High_content,La tensión sistólica es muy alta para asegurar el riesgo.,Systolic blood pressure is too high to ensure risk.,La pression systolique est trop élevée pour garantir le risque.
systolicModalSetup_Low_content,La tensión sistólica es muy baja para asegurar el riesgo.,Systolic blood pressure is too low to ensure risk.,La pression systolique est trop basse pour garantir le risque.
t1,tipo 1,type I,type 1
t2,tipo 2,type II,type 2
tobacco_daily_consumption,Consumo diario,Daily consumption,Consommation journalière
tr_age,Edad candidato,Candidate age,Âge du candidat
tr_alcohol,Alcohol,Alcohol,Alcool
tr_bmi,IMC,BMI,IMC
tr_cholesterol,Colesterol,Cholesterol,Cholestérol
tr_diabetes,Antigüedad diabetes,Age of diabetes,Diabète âge
tr_hemoglobin,Hemoglobina,Hemoglobin,Hémoglobine
tr_insulin,Insulina,Insulin,Insuline
tr_tension,Tensión,Tension,Pression artérielle
tr_tobacco,Tabaco,Tobacco,Tabac
type_I,Tipo I,Type I,Type I
type_II,Tipo II,Type II,Type II
upper_alcohol,Alcohol,Alcohol,Alcool
upper_beers,Cervezas,Beers,Bières
upper_blood_pressure,Tensión arterial,Blood pressure,Pression artérielle
upper_cholesterol,Colesterol total,Total cholesterol,Cholestérol total
upper_cigarettes,Cigarrilos,Cigarettes,Cigarettes
upper_cigars,Puros,Cigars,Cigares
upper_glycosylated,Hemoglobina glicosilada (HbA1c),Glycosylated Hemoglobin (HbA1c),Hémoglobine glycosylée (HbA1c)
upper_insulin,Insulina,Insulin,Insuline
upper_pipes,Pipas,Pipes,Pipes
upper_spirits,Licores,Spirits,Liqueurs
upper_tobacco,Tabaco,Tobacco,Tabac
upper_wines,Vinos,Wines,Vins
upper-diastolic,Diastólica,Diastolic,Diastolique
upper-systolic,Sistólica,Systolic,Systolique
weight_kg,Peso (kg),Weight (kg),Poids (kg)
weightModalSetup_1_content,El peso introducido es muy bajo. Debe introducir un peso mayor de,The entered weight is too low. You must enter a weight greater than,Le poids saisi est trop faible. Vous devez saisir un poids supérieur à
weightModalSetup_2_content,kilos,kilos,kilos
weigth,peso,weigth,poids
wines,vino,wines,vin
woman,Mujer,Woman,Femme
years_diagnosis,Años desde diagnóstico:,Years since diagnosis:,Nombre d'années depuis le diagnostic :
yearsDiabetes,años de tratamiento de diabetes,years of diabetes treatment,années de traitement du diabète